小区名称,户型,面积(㎡),详情链接,成交日期,成交总价(万),成交单价(元/平),朝向,装修,楼层信息,建成年代,房屋结构,挂牌价(万),成交周期(天)
"阳曲小区","1室1厅","44.33","https://sh.ke.com/chengjiao/107109752010.html","2024.11.08","182","41056","南","精装","高楼层(共6层)","1987","板楼","200","176"
"闻喜路1223弄","2室1厅","49.68","https://sh.ke.com/chengjiao/107111269300.html","2024.11.08","250","50323","南","精装","低楼层(共6层)","1990","板楼","250","2"
"彭新小区","1室1厅","43.05","https://sh.ke.com/chengjiao/107110617950.html","2024.11.08","198","45994","南","简装","中楼层(共6层)","1984","板楼","205","73"
"康平小区","2室1厅","49.75","https://sh.ke.com/chengjiao/107109277743.html","2024.11.07","222","44624","南","毛坯","中楼层(共6层)","1983","板楼","230","236"
"共康四村","1室1厅","35.01","https://sh.ke.com/chengjiao/107111201057.html","2024.11.06","164","46844","南","精装","低楼层(共6层)","1995","板楼","178","9"
"平顺小区","2室1厅","50.26","https://sh.ke.com/chengjiao/107109785556.html","2024.11.04","195","38799","南","精装","高楼层(共6层)","1986","板楼","205","168"
"和源名城","2室1厅","75.88","https://sh.ke.com/chengjiao/107111210283.html","2024.11.03","378.8","49921","南","简装","低楼层(共33层)","2011","板楼","400","5"
"闻喜小区","1室1厅","45.12","https://sh.ke.com/chengjiao/107111188615.html","2024.11.03","171.8","38077","南","精装","中楼层(共6层)","1986","板楼","185","7"
"彭三小区","1室1厅","40.57","https://sh.ke.com/chengjiao/107110019448.html","2024.11.02","170","41903","南","简装","高楼层(共18层)","2015","塔楼","190","138"
"三泉路424弄","2室0厅","48.6","https://sh.ke.com/chengjiao/107111012410.html","2024.11.01","183","37655","南","简装","中楼层(共6层)","1995","板楼","195","22"
"彭新小区","1室0厅","32.6","https://sh.ke.com/chengjiao/107110220960.html","2024.10.31","145","44479","南","精装","中楼层(共6层)","1983","板楼","155","112"
"星保花苑","2室1厅","62.96","https://sh.ke.com/chengjiao/107109734154.html","2024.10.30","235","37326","南","简装","低楼层(共13层)","1994","板楼","255","169"
"阳曲路650弄","2室0厅","55.93","https://sh.ke.com/chengjiao/107110812198.html","2024.10.29","217","38799","南","简装","低楼层(共6层)","1994","板楼","245","46"
"彭豪公寓","1室1厅","55.36","https://sh.ke.com/chengjiao/107111174189.html","2024.10.29","245","44256","南","精装","中楼层(共6层)","1996","板楼","268","3"
"共康三村","1室1厅","35.39","https://sh.ke.com/chengjiao/107110448312.html","2024.10.28","122","34474","南","简装","高楼层(共6层)","1995","板楼","128","82"
"彭新小区","2室0厅","47.37","https://sh.ke.com/chengjiao/107111175337.html","2024.10.28","218","46021","南","精装","低楼层(共6层)","1984","板楼","230","3"
"康平小区","2室1厅","48.68","https://sh.ke.com/chengjiao/107110393525.html","2024.10.28","222","45604","南 北","毛坯","中楼层(共6层)","1982","板楼","235","89"
"怡丰公寓","3室1厅","107.88","https://sh.ke.com/chengjiao/107110418240.html","2024.10.28","400.7","37144","南","简装","高楼层(共6层)","1999","板楼","460","86"
"艺康苑(保德路1238弄)","2室1厅","93.22","https://sh.ke.com/chengjiao/107109719604.html","2024.10.27","522","55997","南 北","简装","高楼层(共6层)","2000","板楼","598","168"
"和源名城","2室2厅","85.65","https://sh.ke.com/chengjiao/107111025070.html","2024.10.27","415","48454","南","精装","中楼层(共35层)","2014","板楼","430","17"
"共和新路4605弄","2室1厅","75.1","https://sh.ke.com/chengjiao/107109034086.html","2024.10.27","288","38349","南","精装","低楼层(共13层)","1994","塔楼","320","252"
"泉灵小区","1室1厅","41.41","https://sh.ke.com/chengjiao/107110712339.html","2024.10.26","172","41536","南","精装","高楼层(共6层)","1995","板楼","182","53"
"和源名城","1室1厅","52.56","https://sh.ke.com/chengjiao/107109463957.html","2024.10.26","227.5","43284","南","简装","高楼层(共34层)","2014","板楼","245","200"
"共康四村","1室1厅","39.93","https://sh.ke.com/chengjiao/107111017407.html","2024.10.26","156","39069","南","精装","高楼层(共6层)","1995","板楼","172","17"
"彭新小区","2室1厅","50.07","https://sh.ke.com/chengjiao/107109498285.html","2024.10.26","215","42940","南","简装","高楼层(共6层)","1984","板楼","225","196"
"场中路2401弄","1室1厅","37.13","https://sh.ke.com/chengjiao/107110913402.html","2024.10.26","151","40668","南","精装","中楼层(共6层)","1987","板楼","160","30"
"阳景小区","2室1厅","46.07","https://sh.ke.com/chengjiao/107110947609.html","2024.10.25","177","38420","南","简装","高楼层(共6层)","1989","板楼","195","25"
"岭南路270弄","1室1厅","33.58","https://sh.ke.com/chengjiao/107110599180.html","2024.10.25","137","40799","南","精装","高楼层(共6层)","1984","板楼","146","62"
"共康四村","2室1厅","62.87","https://sh.ke.com/chengjiao/107111159151.html","2024.10.24","230","36584","南","其他","高楼层(共6层)","1995","板楼","245","1"
"航鹰小区","1室1厅","46.2","https://sh.ke.com/chengjiao/107109869896.html","2024.10.23","214","46321","南","简装","高楼层(共4层)","1976","板楼","230","145"
"三泉家园","2室2厅","84.54","https://sh.ke.com/chengjiao/107110854692.html","2024.10.21","460","54413","南","精装","中楼层(共6层)","2001","板楼","488","32"
"临汾名城北区(汾西路88弄)","2室2厅","99.77","https://sh.ke.com/chengjiao/107108069240.html","2024.10.21","670","67155","南 北","精装","高楼层(共14层)","2006","板楼","698","400"
"闻喜小区","2室0厅","51.68","https://sh.ke.com/chengjiao/107110228479.html","2024.10.20","209.3","40500","南","精装","高楼层(共6层)","1985","板楼","215","100"
"金泉苑(闸北)","2室1厅","70.27","https://sh.ke.com/chengjiao/107109859163.html","2024.10.20","337","47958","南","精装","高楼层(共6层)","1999","板楼","358","143"
"共康三村","2室1厅","57.91","https://sh.ke.com/chengjiao/107109869977.html","2024.10.20","266","45934","南 北","精装","高楼层(共6层)","1995","板楼","278","142"
"和源名城","2室1厅","76.81","https://sh.ke.com/chengjiao/107110891134.html","2024.10.20","370.5","48236","南 北","简装","高楼层(共29层)","2011","板楼","360","27"
"和源名城","2室1厅","76.76","https://sh.ke.com/chengjiao/107110945046.html","2024.10.19","388","50548","南","精装","中楼层(共33层)","2011","板楼","399","20"
"三泉公寓","2室2厅","86.95","https://sh.ke.com/chengjiao/107108462901.html","2024.10.18","347","39908","南 北","简装","高楼层(共6层)","1998","板楼","360","343"
"临汾路1564弄","1室1厅","35.18","https://sh.ke.com/chengjiao/107110882570.html","2024.10.18","140","39796","南","精装","中楼层(共6层)","1995","板楼","158","26"
"岭南路100弄","2室1厅","53.54","https://sh.ke.com/chengjiao/107111016256.html","2024.10.17","202","37729","南","简装","高楼层(共6层)","1988","板楼","210","7"
"阳景小区","1室1厅","31.16","https://sh.ke.com/chengjiao/107108931367.html","2024.10.15","125","40116","南","简装","低楼层(共6层)","1989","板楼","130","271"
"彭顺小区","2室1厅","58.87","https://sh.ke.com/chengjiao/107110763097.html","2024.10.14","216","36692","南","简装","低楼层(共6层)","1992","板楼","223","37"
"共康四村","2室1厅","63.08","https://sh.ke.com/chengjiao/107110970851.html","2024.10.14","267","42328","南 北","精装","高楼层(共6层)","1995","板楼","280","10"
"星城花苑","2室1厅","61.36","https://sh.ke.com/chengjiao/107109698321.html","2024.10.14","232.5","37892","西南","简装","中楼层(共13层)","1994","塔楼","244","157"
"彭新小区","1室0厅","28.13","https://sh.ke.com/chengjiao/107110863697.html","2024.10.13","130","46215","南","简装","中楼层(共6层)","1983","板楼","135","23"
"共和新路4699弄","2室1厅","41.8","https://sh.ke.com/chengjiao/107110591738.html","2024.10.13","160","38278","南","简装","低楼层(共6层)","1989","板楼","175","50"
"岭南路100弄","1室1厅","28.01","https://sh.ke.com/chengjiao/107110054920.html","2024.10.12","134","47841","南","精装","中楼层(共6层)","1990","板楼","148","113"
"彭新小区","2室1厅","50.24","https://sh.ke.com/chengjiao/107110286323.html","2024.10.12","191","38018","南","简装","高楼层(共6层)","1983","板楼","199","85"
"平顺小区","1室0厅","28.03","https://sh.ke.com/chengjiao/107110909085.html","2024.10.12","140.8","50232","南","精装","低楼层(共5层)","1982","板楼","145","17"
"和源名城","1室1厅","51.31","https://sh.ke.com/chengjiao/107109219440.html","2024.10.12","198","38589","南","精装","低楼层(共34层)","2014","板楼","220","216"
"阳曲路570弄","2室0厅","41.57","https://sh.ke.com/chengjiao/107110974896.html","2024.10.11","168","40414","南","简装","低楼层(共4层)","1993","板楼","188","6"
"平顺小区","2室2厅","43.37","https://sh.ke.com/chengjiao/107109330969.html","2024.10.11","183","42196","南","精装","高楼层(共6层)","1986","板楼","198","202"
"驰骋新苑","1室0厅","35.7","https://sh.ke.com/chengjiao/107110205739.html","2024.10.10","145","40617","南","简装","高楼层(共6层)","1995","板楼","152","92"
"彭新小区","2室1厅","44.26","https://sh.ke.com/chengjiao/107109808217.html","2024.10.10","203","45866","南","精装","高楼层(共6层)","1984","板楼","215","139"
"彭三小区","2室1厅","72.87","https://sh.ke.com/chengjiao/107109125609.html","2024.10.09","404","55442","南","精装","中楼层(共18层)","2023","板楼","420","224"
"临汾名城北区(汾西路88弄)","2室1厅","97.19","https://sh.ke.com/chengjiao/107110180134.html","2024.10.09","628","64616","南 北","精装","高楼层(共14层)","2006","板楼","653","95"
"和源名城","1室1厅","56.82","https://sh.ke.com/chengjiao/107110862886.html","2024.10.09","265","46639","南","简装","低楼层(共34层)","2011","板楼","290","19"
"临汾路1564弄","1室1厅","42.29","https://sh.ke.com/chengjiao/107110657347.html","2024.10.08","153","36179","南","简装","高楼层(共6层)","1995","板楼","165","41"
"闻喜小区","1室1厅","50.4","https://sh.ke.com/chengjiao/107110958633.html","2024.10.08","214","42461","南","简装","中楼层(共6层)","1986","板楼","220","6"
"岭南路100弄","2室1厅","41.84","https://sh.ke.com/chengjiao/107109320607.html","2024.10.08","170.5","40751","南","简装","高楼层(共6层)","1990","板楼","179","201"
"彭新小区","1室0厅","32.6","https://sh.ke.com/chengjiao/107110654451.html","2024.10.06","138","42332","南","简装","低楼层(共6层)","1983","板楼","145","40"
"星纪花苑","2室1厅","77.15","https://sh.ke.com/chengjiao/107108744952.html","2024.10.06","303","39275","南","精装","低楼层(共15层)","1996","塔楼","315","292"
"共康三村","2室1厅","56.56","https://sh.ke.com/chengjiao/107110957911.html","2024.10.05","240","42433","南","精装","低楼层(共6层)","1995","板楼","255","3"
"阳曲路570弄","2室0厅","46.6","https://sh.ke.com/chengjiao/107109801781.html","2024.10.02","158","33906","南 北","精装","高楼层(共5层)","1993","板楼","165","133"
"和新小区","1室1厅","34.35","https://sh.ke.com/chengjiao/107110942158.html","2024.10.02","118","34353","南","其他","中楼层(共5层)","1975","板楼","130","3"
"共康四村","2室1厅","64.71","https://sh.ke.com/chengjiao/107110253437.html","2024.10.02","260","40180","南","精装","高楼层(共6层)","1995","板楼","278","78"
"康泉小区","1室1厅","42.38","https://sh.ke.com/chengjiao/107110762904.html","2024.09.29","170","40114","南","精装","中楼层(共6层)","1995","板楼","188","22"
"康平小区","1室1厅","27.97","https://sh.ke.com/chengjiao/107110355654.html","2024.09.29","123","43976","南","简装","中楼层(共6层)","1981","板楼","132","64"
"银都一村","1室1厅","34.79","https://sh.ke.com/chengjiao/107110053482.html","2024.09.29","134.4","38618","南","简装","高楼层(共6层)","1995","板楼","139","100"
"场中路2401弄","1室1厅","39.97","https://sh.ke.com/chengjiao/107110844213.html","2024.09.29","185","46285","南","精装","中楼层(共6层)","1985","板楼","195","11"
"和源名城","2室2厅","80.33","https://sh.ke.com/chengjiao/107110007971.html","2024.09.28","372.5","46372","南","简装","高楼层(共33层)","2011","板楼","380","104"
"康泉小区","1室1厅","46.57","https://sh.ke.com/chengjiao/107110857330.html","2024.09.28","190","40799","南","精装","高楼层(共6层)","1995","板楼","218","9"
"共康四村","1室0厅","37.04","https://sh.ke.com/chengjiao/107108991392.html","2024.09.28","139.5","37662","南","简装","高楼层(共6层)","1995","板楼","148","243"
"场中路2401弄","2室1厅","51.15","https://sh.ke.com/chengjiao/107110836055.html","2024.09.28","232","45357","南 东","精装","低楼层(共6层)","1987","板楼","249","11"
"和源名城","2室1厅","72.78","https://sh.ke.com/chengjiao/107110711983.html","2024.09.28","325","44656","南","简装","低楼层(共34层)","2011","板楼","360","25"
"临汾路1564弄","2室1厅","65.87","https://sh.ke.com/chengjiao/107109495150.html","2024.09.25","255","38713","南","精装","中楼层(共6层)","1995","板楼","280","165"
"彭新小区","1室1厅","43.21","https://sh.ke.com/chengjiao/107110757199.html","2024.09.24","183","42352","南","精装","中楼层(共10层)","1986","塔楼","208","17"
"紫腾苑","2室2厅","84.71","https://sh.ke.com/chengjiao/107109876064.html","2024.09.22","416","49109","南 北","精装","低楼层(共6层)","1999","板楼","430","114"
"平顺路941弄","2室1厅","54.5","https://sh.ke.com/chengjiao/107110437142.html","2024.09.22","222","40734","南 北","精装","中楼层(共6层)","1994","板楼","240","47"
"平顺路875弄","1室0厅","32.6","https://sh.ke.com/chengjiao/107109614977.html","2024.09.21","117.5","36043","南","简装","高楼层(共6层)","1990","板楼","125","146"
"驰骋新苑","2室1厅","50.02","https://sh.ke.com/chengjiao/107110230661.html","2024.09.21","190","37985","南 北","简装","中楼层(共6层)","1995","板楼","210","71"
"星保花苑","2室1厅","74.5","https://sh.ke.com/chengjiao/107107662415.html","2024.09.19","288","38658","南","简装","低楼层(共13层)","1994","塔楼","310","420"
"康平小区","1室1厅","30.43","https://sh.ke.com/chengjiao/107110756130.html","2024.09.18","148","48637","南","精装","高楼层(共6层)","1986","板楼","152","11"
"康平小区","1室0厅","30.25","https://sh.ke.com/chengjiao/107110455682.html","2024.09.18","136","44959","南","精装","高楼层(共6层)","1987","板楼","143","41"
"彭新小区","2室1厅","50.24","https://sh.ke.com/chengjiao/107110830229.html","2024.09.18","210","41800","南","简装","中楼层(共6层)","1985","板楼","228","1"
"共康三村","2室0厅","44.84","https://sh.ke.com/chengjiao/107108004094.html","2024.09.15","190","42373","南","精装","低楼层(共6层)","1995","板楼","218","372"
"临汾花园","2室1厅","68.16","https://sh.ke.com/chengjiao/107109620616.html","2024.09.14","348","51057","南 北","简装","低楼层(共6层)","1997","板楼","375","138"
"鹏程宝都","2室2厅","102.54","https://sh.ke.com/chengjiao/107108617488.html","2024.09.14","415","40473","东 南","精装","中楼层(共14层)","1998","塔楼","470","287"
"银都二村","1室1厅","36.09","https://sh.ke.com/chengjiao/107109279607.html","2024.09.13","132.4","36687","南","精装","高楼层(共6层)","1995","板楼","135","181"
"三泉家园","2室1厅","72.94","https://sh.ke.com/chengjiao/107110739185.html","2024.09.12","393","53880","南","精装","低楼层(共6层)","2001","板楼","410","7"
"彭豪公寓","2室2厅","101.72","https://sh.ke.com/chengjiao/107110350594.html","2024.09.09","526","51711","南","简装","中楼层(共17层)","2005","板楼","568","45"
"三泉路424弄","1室1厅","41.97","https://sh.ke.com/chengjiao/107106876668.html","2024.09.06","175","41697","南","简装","低楼层(共6层)","1992","板楼","190","517"
"保德路425弄","2室1厅","51.63","https://sh.ke.com/chengjiao/107110136495.html","2024.09.05","225","43576","南","简装","低楼层(共6层)","1988","板楼","235","65"
"平保小区","2室1厅","65.84","https://sh.ke.com/chengjiao/107109355196.html","2024.09.03","255.5","38807","南","简装","高楼层(共6层)","1990","板楼","265","161"
"航鹰小区","2室1厅","60.22","https://sh.ke.com/chengjiao/107109939365.html","2024.09.01","260","43176","南","毛坯","中楼层(共5层)","1996","板楼","275","86"
"保德路425弄","2室1厅","59.17","https://sh.ke.com/chengjiao/107110190002.html","2024.09.01","217","36674","南","精装","高楼层(共6层)","1988","板楼","248","56"
"星城花苑","2室1厅","57.85","https://sh.ke.com/chengjiao/107109309647.html","2024.09.01","210","36301","南","简装","中楼层(共13层)","1992","塔楼","230","165"
"临汾路1515弄","2室0厅","52.9","https://sh.ke.com/chengjiao/107110356043.html","2024.09.01","205","38753","南","简装","中楼层(共6层)","1995","板塔结合","230","35"
"彭五小区","2室1厅","54.52","https://sh.ke.com/chengjiao/107110611285.html","2024.08.31","262.5","48148","南","精装","低楼层(共5层)","1978","板楼","270","6"
"岭南路270弄","2室1厅","61.87","https://sh.ke.com/chengjiao/107109384899.html","2024.08.29","275","44449","南","简装","中楼层(共5层)","1982","板楼","290","153"
"彭五小区","1室1厅","31.45","https://sh.ke.com/chengjiao/107110651675.html","2024.08.29","120","38156","南","简装","高楼层(共5层)","1976","板楼","130","1"
"星城花苑","2室1厅","68.67","https://sh.ke.com/chengjiao/107110302498.html","2024.08.27","352","51260","西南","简装","中楼层(共13层)","1992","塔楼","375","38"
